time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-05-16T04:40:43.000Z,59.94036173,10.76604407,141,8.576,44.8,0.76,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:40:34.750Z,59.9405506,10.7654213,135.4000092,38.697,,,0,network,,,,,,,,42,
2020-05-16T04:40:53.834Z,59.94038769,10.76606319,146,5.36,,0,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:41:00.134Z,59.94039448,10.76605813,144,4.288,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:06.254Z,59.94047157,10.76610662,147,5.36,8.2,0.89,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:12.374Z,59.94042175,10.76611552,142,6.432,,0,0,gps,0.5,0.6,0.8,40,,,,42,
2020-05-16T04:41:18.474Z,59.94038851,10.76609004,133,4.288,196.3,0.62,19,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:24.574Z,59.94029816,10.7660045,130,5.36,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:30.694Z,59.94030051,10.76599222,132,5.36,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:36.814Z,59.94028861,10.76597647,133,4.288,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:42.914Z,59.94031019,10.76600161,135,5.36,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:49.034Z,59.94026478,10.76591772,133,5.36,236.1,2.36,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:55.134Z,59.94025973,10.76584756,133,6.432,264.1,0.7,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:42:00.355Z,59.9402122,10.7653029,129.1000061,16.285,,,0,network,,,,,,,,42,
2020-05-16T04:42:09.000Z,59.94024268,10.76562778,134,13.936001,289.3,1.01,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:42:00.354Z,59.9402122,10.7653029,129.1000061,16.285,,,0,network,,,,,,,,42,
2020-05-16T04:42:23.000Z,59.94023105,10.76495757,127,23.584,280,1.77,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:42:13.774Z,59.9401937,10.7651239,129.1000061,20.551,,,0,network,,,,,,,,42,
2020-05-16T04:42:37.000Z,59.94024938,10.76397049,118,16.08,294.2,1.16,0,gps,0.8,0.7,1,40,,,,42,
2020-05-16T04:42:28.152Z,59.9402379,10.7645872,129.4000092,34.738,,,0,network,,,,,,,,42,
2020-05-16T04:42:50.000Z,59.94024737,10.7635152,118,19.296001,286.6,2.35,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:42:41.895Z,59.9403115,10.7635826,129.5,25.691,,,0,network,,,,,,,,42,
2020-05-16T04:43:03.000Z,59.94028499,10.76298352,129,20.368,254.3,2,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:42:54.895Z,59.9403787,10.7633004,130.2000122,19.598,,,0,network,,,,,,,,42,
2020-05-16T04:43:17.000Z,59.94053291,10.76223975,134,34.304,311.3,3.42,0,gps,1.4,0.8,1.6,40,,,,42,
2020-05-16T04:43:07.884Z,59.9403954,10.7630945,129.7000122,14.662,,,0,network,,,,,,,,42,
2020-05-16T04:43:30.000Z,59.9404191,10.76174158,147,13.936001,222,3.63,0,gps,1.3,0.8,1.6,40,,,,42,
2020-05-16T04:43:34.845Z,59.9404503,10.7621588,128.5,28.658,,,0,network,,,,,,,,42,
2020-05-16T04:43:44.000Z,59.94033199,10.76099884,134,22.512001,236.8,0.72,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:43:34.845Z,59.9404503,10.7621588,128.5,28.658,,,0,network,,,,,,,,42,
2020-05-16T04:43:56.000Z,59.94054023,10.76092651,151,16.08,23.5,0.48,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:43:48.821Z,59.9404457,10.7618153,127.6999969,25.763,,,0,network,,,,,,,,42,
2020-05-16T04:44:09.000Z,59.94039221,10.76076335,130,21.44,,0,0,gps,1,0.9,1.3,40,,,,42,
2020-05-16T04:44:00.918Z,59.9404594,10.7616903,126.5999985,21.994,,,0,network,,,,,,,,42,
2020-05-16T04:44:21.000Z,59.94033814,10.76080967,136,12.864,,0,0,gps,1,0.8,1.3,40,,,,42,
2020-05-16T04:44:13.907Z,59.9404146,10.7615152,125.1999969,18.516,,,0,network,,,,,,,,42,
2020-05-16T04:44:34.000Z,59.94032267,10.76080686,128,11.792,,0,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:44:25.923Z,59.9404145,10.7615801,126.2999954,33.658,,,0,network,,,,,,,,42,
2020-05-16T04:44:47.000Z,59.94030414,10.76079348,130,10.72,245.9,1.82,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:44:38.957Z,59.940291,10.7608742,123.1999969,18.438,,,0,network,,,,,,,,42,
2020-05-16T04:45:00.000Z,59.94005021,10.76020299,134,18.224,231,2.73,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:44:51.969Z,59.9402351,10.7607387,123.0999985,17.13,,,0,network,,,,,,,,42,
2020-05-16T04:45:13.000Z,59.94000032,10.75985437,132,18.224,249.3,0.92,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:45:04.859Z,59.9402232,10.7607384,122.7999954,17.817,,,0,network,,,,,,,,42,
2020-05-16T04:45:26.000Z,59.93966535,10.75944846,139,24.656,222.1,1.67,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:45:30.945Z,59.939659,10.7590216,119.6999969,24.899,,,0,network,,,,,,,,42,
2020-05-16T04:45:39.000Z,59.93952646,10.75854665,137,11.792,207.8,2.65,0,gps,0.8,0.7,1,40,,,,42,
2020-05-16T04:45:30.945Z,59.939659,10.7590216,119.6999969,24.899,,,0,network,,,,,,,,42,
2020-05-16T04:45:52.000Z,59.93901382,10.75851548,139,19.296001,184.7,4.43,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:45:43.907Z,59.9396653,10.758983,118.2999954,15.26,,,0,network,,,,,,,,42,
2020-05-16T04:46:05.000Z,59.93889357,10.75754146,137,21.44,222.9,2.91,0,gps,1,0.7,1.3,40,,,,42,
2020-05-16T04:45:56.923Z,59.9396567,10.7589844,117.7999954,15.26,,,0,network,,,,,,,,42,
2020-05-16T04:46:18.000Z,59.93842627,10.757463,132,21.44,285.3,2.07,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:46:09.884Z,59.939581,10.7588707,117.6999969,11.438,,,0,network,,,,,,,,42,
2020-05-16T04:46:31.000Z,59.93827482,10.75699969,134,11.792,217.1,2.61,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:46:22.989Z,59.9394043,10.7588418,117.5999985,27.562,,,0,network,,,,,,,,42,
2020-05-16T04:46:41.831Z,59.93815022,10.75676845,129,9.648001,200,1.36,15,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:46:35.903Z,59.9384471,10.7570819,116.4000015,25.397,,,0,network,,,,,,,,42,
2020-05-16T04:46:56.000Z,59.93840389,10.7558575,115,18.224,300.1,4.19,0,gps,1.3,0.8,1.5,40,,,,42,
2020-05-16T04:46:47.707Z,59.9383828,10.7569745,116.2999954,25.928,,,0,network,,,,,,,,42,
2020-05-16T04:47:09.000Z,59.93872332,10.755061,118,18.224,322,3.33,0,gps,1.3,1,1.6,40,,,,42,
2020-05-16T04:47:00.851Z,59.9382591,10.7566817,116.2999954,21.952,,,0,network,,,,,,,,42,
2020-05-16T04:47:22.000Z,59.93908946,10.75439634,125,23.584,325.4,2.27,0,gps,1,0.8,1.2,40,,,,42,
2020-05-16T04:47:13.901Z,59.9382387,10.7566383,116.2999954,14.227,,,0,network,,,,,,,,42,
2020-05-16T04:47:35.000Z,59.93869201,10.7538677,133,12.864,217.3,2.2,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:47:26.865Z,59.938267,10.7563991,116.4000015,24.323,,,0,network,,,,,,,,42,
2020-05-16T04:47:47.000Z,59.9383498,10.75342108,143,11.792,215.8,3.63,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:47:39.894Z,59.9384278,10.7554627,116.0999985,26.215,,,0,network,,,,,,,,42,
2020-05-16T04:48:00.000Z,59.93813754,10.75287158,131,10.72,217.2,3.64,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:48:07.000Z,59.93802479,10.75260425,128,11.792,221.3,2.19,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:48:14.000Z,59.9379954,10.75246044,126,18.224,293.8,0.87,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:48:20.508Z,59.9385584,10.7534866,117.4000015,17.404,,,0,network,,,,,,,,42,
2020-05-16T04:48:28.000Z,59.9377602,10.75221577,114,9.648001,,0,0,gps,0.7,0.7,0.9,40,,,,42,
2020-05-16T04:48:20.508Z,59.9385584,10.7534866,117.4000015,17.404,,,0,network,,,,,,,,42,
2020-05-16T04:48:42.000Z,59.93772653,10.75215743,110,21.44,,0,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:48:33.757Z,59.938567,10.7535005,116.6999969,17.404,,,0,network,,,,,,,,42,
2020-05-16T04:48:47.793Z,59.9382988,10.7532395,120.6999969,15.125,,,0,network,,,,,,,,42,
